"kingdom" "phylum" "class" "order" "family" "genus" "binomial" "statut" "category" "code" "name" "stressCode" "stressName" "scope" "severity" "timing" "threat"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Geogale" "Geogale aurita" "endemic" "LC" "7.1.3" "Trend Unknown/Unrecorded" "1.2" "Ecosystem degradation" "" "" "Ongoing" "Natural system modifications"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Geogale" "Geogale aurita" "endemic" "LC" "5.3.5" "Motivation Unknown/Unrecorded" "1.2" "Ecosystem degradation" "" "" "Ongoing" "Biological resource use"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Tenrec" "Tenrec ecaudatus" "endemic" "LC" NA NA NA NA NA NA NA NA
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Hemicentetes" "Hemicentetes semispinosus" "endemic" "LC" "2.1.1" "Shifting agriculture" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Ongoing" "Agriculture and aquaculture"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Hemicentetes" "Hemicentetes semispinosus" "endemic" "LC" "5.1.1" "Intentional use (species is the target)" "2.1" "Species mortality" "" "" "Ongoing" "Biological resource use"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Hemicentetes" "Hemicentetes semispinosus" "endemic" "LC" "5.3.5" "Motivation Unknown/Unrecorded" "1.2" "Ecosystem degradation" "" "" "Ongoing" "Biological resource use"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Hemicentetes" "Hemicentetes nigriceps" "endemic" "LC" NA NA NA NA NA NA NA NA
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Setifer" "Setifer setosus" "endemic" "LC" NA NA NA NA NA NA NA NA
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Echinops" "Echinops telfairi" "endemic" "LC" NA NA NA NA NA NA NA NA
"ANIMALIA" "CHORDATA" "MAMMALIA" "PILOSA" "BRADYPODIDAE" "Bradypus" "Bradypus pygmaeus" "endemic" "CR" "5.3.5" "Motivation Unknown/Unrecorded" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "Unknown" "Unknown" "Ongoing" "Biological resource use"
"ANIMALIA" "CHORDATA" "MAMMALIA" "PILOSA" "BRADYPODIDAE" "Bradypus" "Bradypus pygmaeus" "endemic" "CR" "5.1.1" "Intentional use (species is the target)" "2.1" "Species mortality" "Minority (<50%)" "Negligible declines" "Ongoing" "Biological resource use"
"ANIMALIA" "CHORDATA" "MAMMALIA" "PILOSA" "BRADYPODIDAE" "Bradypus" "Bradypus pygmaeus" "endemic" "CR" "1.3" "Tourism & recreation areas" "1.2" "Ecosystem degradation" "Unknown" "Unknown" "Future" "Residential and commercial development"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SOLENODONTIDAE" "Solenodon" "Solenodon marcanoi" "endemic" "EX" "2.1.1" "Shifting agriculture" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Past, Unlikely to Return" "Agriculture and aquaculture"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SOLENODONTIDAE" "Solenodon" "Solenodon marcanoi" "endemic" "EX" "8.1.2" "Named species" "2.3.2" "Competition" "" "" "Past, Unlikely to Return" "Invasive and other problematic species/genes/diseases"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SOLENODONTIDAE" "Solenodon" "Solenodon marcanoi" "endemic" "EX" "8.1.2" "Named species" "2.1" "Species mortality" "" "" "Past, Unlikely to Return" "Invasive and other problematic species/genes/diseases"
