kingdom	phylum	class	order	family	genus	binomial	statut	category	populationTrend	code	name	Occurs in at least one protected area	Note
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	CERVIDAE	Axis	Axis kuhlii	endemic	CR	Stable	2.2	Invasive/problematic species control		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	CERVIDAE	Axis	Axis kuhlii	endemic	CR	Stable	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	CERVIDAE	Axis	Axis kuhlii	endemic	CR	Stable	1.2	Resource & habitat protection		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	CERVIDAE	Axis	Axis kuhlii	endemic	CR	Stable	3.4.1	Captive breeding/artificial propagation		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	CERVIDAE	Axis	Axis kuhlii	endemic	CR	Stable	3.1.1	Harvest management		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Babyrousa	Babyrousa babyrussa	endemic	VU	Decreasing	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Babyrousa	Babyrousa babyrussa	endemic	VU	Decreasing	3.1.1	Harvest management		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Babyrousa	Babyrousa babyrussa	endemic	VU	Decreasing	1.1	Site/area protection		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Babyrousa	Babyrousa celebensis	endemic	VU	Decreasing	1.1	Site/area protection		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Babyrousa	Babyrousa celebensis	endemic	VU	Decreasing	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Babyrousa	Babyrousa celebensis	endemic	VU	Decreasing	3.1.1	Harvest management		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Babyrousa	Babyrousa celebensis	endemic	VU	Decreasing	6.1	Linked enterprises & livelihood alternatives		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Babyrousa	Babyrousa celebensis	endemic	VU	Decreasing	4.3	Awareness & communications		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Babyrousa	Babyrousa celebensis	endemic	VU	Decreasing	5.4.2	National level		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Babyrousa	Babyrousa togeanensis	endemic	EN	Decreasing	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Babyrousa	Babyrousa togeanensis	endemic	EN	Decreasing	4.3	Awareness & communications		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Babyrousa	Babyrousa togeanensis	endemic	EN	Decreasing	1.1	Site/area protection		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Babyrousa	Babyrousa togeanensis	endemic	EN	Decreasing	3.1.1	Harvest management		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Babyrousa	Babyrousa togeanensis	endemic	EN	Decreasing	1.2	Resource & habitat protection		
ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	SUIDAE	Babyrousa	Babyrousa togeanensis	endemic	EN	Decreasing	5.4.2	National level		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Baiyankamys	Baiyankamys habbema	endemic	DD	Unknown	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Baiyankamys	Baiyankamys shawmayeri	endemic	LC	Stable	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Batomys	Batomys dentatus	endemic	DD	Unknown	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Batomys	Batomys granti	endemic	LC	Stable	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Batomys	Batomys russatus	endemic	EN	Decreasing	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Batomys	Batomys salomonseni	endemic	LC	Stable	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	DIPROTODONTIA	POTOROIDAE	Bettongia	Bettongia gaimardi	endemic	NT	Unknown	1.1	Site/area protection		
